Title,Price,Location,Year,Link,Mileage,Fuel,Engine,Transmission,Last_updated,Image_url
Toyota Corolla  2014 GLi 1.3 VVTi,PKR 27.5 lacs,Karachi,2014,https://www.pakwheels.com/used-cars/toyota-corolla-2014-for-sale-in-karachi-10052704,"4,000 km",Petrol,1300 cc,Manual,Updated about 8 hours ago,https://cache1.pakwheels.com/ad_pictures/1211/toyota-corolla-gli-vvti-2014-121153647.webp
Toyota Corolla  2014 GLi Automatic 1.3 VVTi,PKR 27.7 lacs,Sargodha,2014,https://www.pakwheels.com/used-cars/toyota-corolla-2014-for-sale-in-sargodha-10052509,"97,297 km",Petrol,1300 cc,Automatic,Updated about 8 hours ago,https://cache3.pakwheels.com/ad_pictures/1211/toyota-corolla-gli-vvti-automatic-2014-121150333.webp
Toyota Corolla  2015 GLi Automatic 1.3 VVTi,PKR 35.75 lacs,Lahore,2015,https://www.pakwheels.com/used-cars/toyota-corolla-2015-for-sale-in-lahore-10052366,"106,000 km",Petrol,1300 cc,Automatic,Updated about 8 hours ago,https://cache1.pakwheels.com/ad_pictures/1211/toyota-corolla-gli-vvti-automatic-2015-121148035.webp
Toyota Corolla  2013 GLi Automatic 1.6 VVTi,PKR 31 lacs,Gujrat,2013,https://www.pakwheels.com/used-cars/toyota-corolla-2013-for-sale-in-gujrat-10052533,"110,000 km",Petrol,1600 cc,Automatic,Updated about 9 hours ago,https://cache1.pakwheels.com/ad_pictures/1211/toyota-corolla-1-6-gli-automatic-2013-121150830.webp
Toyota Corolla  2014 GLi Limited Edition 1.3 VVTi,PKR 34.5 lacs,Narowal,2014,https://www.pakwheels.com/used-cars/toyota-corolla-2014-for-sale-in-narowal-10052479,"76,500 km",Petrol,1300 cc,Manual,Updated about 9 hours ago,https://cache1.pakwheels.com/ad_pictures/1211/toyota-corolla-gli-vvti-limited-edition-2014-121150261.webp
Toyota Corolla  2013 GLi 1.3 VVTi,PKR 27.5 lacs,Nowshera cantt,2013,https://www.pakwheels.com/used-cars/toyota-corolla-2013-for-sale-in-nowshera-cantt-10051392,"123,456 km",Petrol,1300 cc,Manual,Updated about 9 hours ago,https://cache1.pakwheels.com/ad_pictures/1211/toyota-corolla-gli-vvti-2013-121133482.webp
Toyota Corolla  2015 GLi Automatic 1.3 VVTi,PKR 35 lacs,Karachi,2015,https://www.pakwheels.com/used-cars/toyota-corolla-2015-for-sale-in-karachi-10049366,"66,500 km",Petrol,1300 cc,Automatic,Updated 1 day ago,https://cache2.pakwheels.com/ad_pictures/1211/toyota-corolla-gli-vvti-automatic-2015-121103856.webp
Toyota Corolla  2016 GLi 1.3 VVTi,PKR 36 lacs,Karachi,2016,https://www.pakwheels.com/used-cars/toyota-corolla-2016-for-sale-in-karachi-10048734,"91,000 km",Petrol,1300 cc,Manual,Updated 1 day ago,https://cache2.pakwheels.com/ad_pictures/1210/toyota-corolla-gli-vvti-2016-121094635.webp
Toyota Corolla  2013 GLi Automatic 1.6 VVTi,PKR 43 lacs,Gujranwala,2013,https://www.pakwheels.com/used-cars/toyota-corolla-2013-for-sale-in-gujranwala-9849454,"27,580 km",Petrol,1600 cc,Automatic,Updated 1 day ago,https://cache1.pakwheels.com/ad_pictures/1180/toyota-corolla-1-6-gli-automatic-2013-118042515.webp
Toyota Corolla  2016 GLi Automatic 1.3 VVTi,PKR 35.9 lacs,Karachi,2016,https://www.pakwheels.com/used-cars/toyota-corolla-2016-for-sale-in-karachi-10045536,"83,000 km",Petrol,1300 cc,Automatic,Updated 1 day ago,https://cache3.pakwheels.com/ad_pictures/1210/toyota-corolla-gli-vvti-automatic-2016-121046059.webp
Toyota Corolla  2015 GLi Automatic 1.3 VVTi,PKR 36.75 lacs,Karachi,2015,https://www.pakwheels.com/used-cars/toyota-corolla-2015-for-sale-in-karachi-10046104,"122,000 km",Petrol,1300 cc,Automatic,Updated 2 days ago,https://cache2.pakwheels.com/ad_pictures/1210/toyota-corolla-gli-vvti-automatic-2015-121054538.webp
Toyota Corolla  2015 GLi Automatic 1.3 VVTi,PKR 34.5 lacs,Karachi,2015,https://www.pakwheels.com/used-cars/toyota-corolla-2015-for-sale-in-karachi-10034194,80 km,Petrol,1300 cc,Automatic,Updated 2 days ago,https://cache4.pakwheels.com/ad_pictures/1208/toyota-corolla-gli-vvti-automatic-2015-120875403.webp
Toyota Corolla  2016 GLi Automatic 1.3 VVTi,PKR 38.65 lacs,Karachi,2016,https://www.pakwheels.com/used-cars/toyota-corolla-2016-for-sale-in-karachi-10045094,"87,000 km",Petrol,1300 cc,Automatic,Updated 2 days ago,https://cache3.pakwheels.com/ad_pictures/1210/toyota-corolla-gli-vvti-automatic-2016-121039956.webp
Toyota Corolla  2015 GLi 1.3 VVTi,PKR 34.95 lacs,Islamabad,2015,https://www.pakwheels.com/used-cars/toyota-corolla-2015-for-sale-in-islamabad-10036111,"145,000 km",Petrol,1300 cc,Manual,Updated 2 days ago,https://cache2.pakwheels.com/ad_pictures/1209/toyota-corolla-gli-vvti-2015-120902559.webp
Toyota Corolla  2014 GLi 1.3 VVTi,PKR 35.5 lacs,Islamabad,2014,https://www.pakwheels.com/used-cars/toyota-corolla-2014-for-sale-in-islamabad-10043975,"69,000 km",Petrol,1300 cc,Manual,Updated 2 days ago,https://cache3.pakwheels.com/ad_pictures/1210/toyota-corolla-gli-vvti-2014-121020842.webp
